"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","18698","Runs Cucumber Scenarios","Default Suite","Thu Dec 26 14:43:29 IST 2024","passed","Thu Dec 26 14:43:47 IST 2024","com.browserstack.qa.task.runner.SingleBrowserRunner","browserstack-qatask-rsk","com.browserstack.qa.task.runner.SingleBrowserRunner","runScenario"
"","3","setUpClass","Default Suite","Thu Dec 26 14:26:51 IST 2024","broken","Thu Dec 26 14:26:51 IST 2024","com.browserstack.qa.task.runner.SingleBrowserRunner","browserstack-qatask-rsk","com.browserstack.qa.task.runner.SingleBrowserRunner","setUpClass"
"","18422","Identify repeated words from translated titles","","Thu Dec 26 14:43:29 IST 2024","passed","Thu Dec 26 14:43:47 IST 2024","","Opinion & Transalation for Elpais.com","Identify repeated words from translated titles",""
